season,week,team_id,opponent_team_id,points_for,points_against,result
2023,17,4,6,156.54,117.84,W
2023,17,10,11,154.66,117.46,W
2023,17,11,10,117.46,154.66,L
2023,17,9,2,97.4,96.28,W
2023,17,2,9,96.28,97.4,L
2023,17,5,7,161.58,134.98,W
2023,17,7,5,134.98,161.58,L
2023,17,1,3,120.1,85.52,W
2023,17,3,1,85.52,120.1,L
2023,17,12,8,96.62,151.2,L
2023,17,8,12,151.2,96.62,W
2024,1,10,2,149.96,108.52,W
2024,1,2,10,108.52,149.96,L
2024,1,8,3,155.88,82.98,W
2024,1,3,8,82.98,155.88,L
2024,1,7,12,90.62,113.0,L
2024,1,12,7,113.0,90.62,W
2024,1,6,5,158.52,138.26,W
2024,1,5,6,138.26,158.52,L
2024,1,1,9,145.66,99.1,W
2024,1,9,1,99.1,145.66,L
2024,1,4,11,172.08,118.34,W
2024,1,11,4,118.34,172.08,L
2024,2,2,3,126.02,108.9,W
2024,2,3,2,108.9,126.02,L
2024,2,12,10,118.14,132.24,L
2024,2,10,12,132.24,118.14,W
2024,2,5,8,118.04,143.26,L
2024,2,8,5,143.26,118.04,W
2024,2,9,7,175.24,116.78,W
2024,2,7,9,116.78,175.24,L
2024,2,11,6,138.56,122.4,W
2024,2,6,11,122.4,138.56,L
2024,2,4,1,107.48,149.5,L
2024,2,1,4,149.5,107.48,W
2024,3,12,2,125.4,138.06,L
2024,3,2,12,138.06,125.4,W
2024,3,3,5,101.12,110.76,L
2024,3,5,3,110.76,101.12,W
2024,3,10,9,110.06,115.14,L
2024,3,9,10,115.14,110.06,W
2024,3,8,11,87.18,189.08,L
2024,3,11,8,189.08,87.18,W
2024,3,7,4,139.98,139.02,W
2024,3,4,7,139.02,139.98,L
2024,3,6,1,132.66,154.4,L
2024,3,1,6,154.4,132.66,W
2024,4,2,5,132.0,174.78,L
2024,4,5,2,174.78,132.0,W
2024,4,9,12,119.36,97.7,W
2024,4,12,9,97.7,119.36,L
2024,4,11,3,144.22,80.06,W
2024,4,3,11,80.06,144.22,L
2024,4,4,10,83.7,144.12,L
2024,4,10,4,144.12,83.7,W
2024,4,1,8,139.0,148.6,L
2024,4,8,1,148.6,139.0,W
2024,4,6,7,135.14,115.66,W
2024,4,7,6,115.66,135.14,L
2024,5,9,2,149.16,108.48,W
2024,5,2,9,108.48,149.16,L
2024,5,5,11,178.68,110.96,W
2024,5,11,5,110.96,178.68,L
2024,5,12,4,117.24,109.94,W
2024,5,4,12,109.94,117.24,L
2024,5,3,1,131.14,151.34,L
2024,5,1,3,151.34,131.14,W
2024,5,10,6,118.32,102.24,W
2024,5,6,10,102.24,118.32,L
2024,5,8,7,130.56,169.26,L
2024,5,7,8,169.26,130.56,W
2024,6,2,11,161.96,113.0,W
2024,6,11,2,113.0,161.96,L
2024,6,4,9,133.72,96.42,W
2024,6,9,4,96.42,133.72,L
2024,6,1,5,200.18,137.32,W
2024,6,5,1,137.32,200.18,L
2024,6,6,12,147.32,123.0,W
2024,6,12,6,123.0,147.32,L
2024,6,7,3,125.5,131.76,L
2024,6,3,7,131.76,125.5,W
2024,6,8,10,103.5,90.36,W
2024,6,10,8,90.36,103.5,L
2024,7,4,2,153.84,155.0,L
2024,7,2,4,155.0,153.84,W
2024,7,11,1,141.78,145.14,L
2024,7,1,11,145.14,141.78,W
2024,7,9,6,137.2,111.38,W
2024,7,6,9,111.38,137.2,L
2024,7,5,7,120.24,106.18,W
2024,7,7,5,106.18,120.24,L
2024,7,12,8,137.6,125.86,W
2024,7,8,12,125.86,137.6,L
2024,7,3,10,82.22,74.84,W
2024,7,10,3,74.84,82.22,L
2024,8,2,1,133.8,155.72,L
2024,8,1,2,155.72,133.8,W
2024,8,6,4,151.16,151.16,T
2024,8,4,6,151.16,151.16,T
2024,8,7,11,142.38,128.82,W
2024,8,11,7,128.82,142.38,L
2024,8,8,9,165.0,105.14,W
2024,8,9,8,105.14,165.0,L
2024,8,10,5,154.66,120.78,W
2024,8,5,10,120.78,154.66,L
2024,8,3,12,131.72,134.1,L
2024,8,12,3,134.1,131.72,W
2024,9,6,2,114.74,127.7,L
2024,9,2,6,127.7,114.74,W
2024,9,1,7,152.24,113.88,W
2024,9,7,1,113.88,152.24,L
2024,9,4,8,158.6,142.88,W
2024,9,8,4,142.88,158.6,L
2024,9,11,10,179.48,156.14,W
2024,9,10,11,156.14,179.48,L
2024,9,9,3,87.22,154.36,L
2024,9,3,9,154.36,87.22,W
2024,9,5,12,125.94,121.12,W
2024,9,12,5,121.12,125.94,L
2024,10,2,7,145.78,136.84,W
2024,10,7,2,136.84,145.78,L
2024,10,8,6,140.94,110.38,W
2024,10,6,8,110.38,140.94,L
2024,10,10,1,113.68,100.68,W
2024,10,1,10,100.68,113.68,L
2024,10,3,4,112.08,142.5,L
2024,10,4,3,142.5,112.08,W
2024,10,12,11,112.7,105.62,W
2024,10,11,12,105.62,112.7,L
2024,10,5,9,97.62,115.7,L
2024,10,9,5,115.7,97.62,W
2024,11,8,2,137.44,147.94,L
2024,11,2,8,147.94,137.44,W
2024,11,7,10,110.32,106.24,W
2024,11,10,7,106.24,110.32,L
2024,11,6,3,171.84,123.8,W
2024,11,3,6,123.8,171.84,L
2024,11,1,12,179.98,153.98,W
2024,11,12,1,153.98,179.98,L
2024,11,4,5,152.48,130.34,W
2024,11,5,4,130.34,152.48,L
2024,11,11,9,132.86,106.6,W
2024,11,9,11,106.6,132.86,L
2024,12,2,10,143.56,153.0,L
2024,12,10,2,153.0,143.56,W
2024,12,3,8,144.56,82.3,W
2024,12,8,3,82.3,144.56,L
2024,12,12,7,138.86,115.02,W
2024,12,7,12,115.02,138.86,L
2024,12,5,6,130.56,172.88,L
2024,12,6,5,172.88,130.56,W
2024,12,9,1,112.82,117.78,L
2024,12,1,9,117.78,112.82,W
2024,12,11,4,136.22,147.18,L
2024,12,4,11,147.18,136.22,W
2024,13,3,2,145.28,134.3,W
2024,13,2,3,134.3,145.28,L
2024,13,10,12,125.14,159.34,L
2024,13,12,10,159.34,125.14,W
2024,13,8,5,119.4,116.46,W
2024,13,5,8,116.46,119.4,L
2024,13,7,9,99.3,159.26,L
2024,13,9,7,159.26,99.3,W
2024,13,6,11,151.5,103.68,W
2024,13,11,6,103.68,151.5,L
2024,13,1,4,146.48,105.98,W
2024,13,4,1,105.98,146.48,L
2024,14,2,12,135.72,121.72,W
2024,14,12,2,121.72,135.72,L
2024,14,5,3,120.66,140.28,L
2024,14,3,5,140.28,120.66,W
2024,14,9,10,110.54,84.82,W
2024,14,10,9,84.82,110.54,L
2024,14,11,8,143.32,243.18,L
2024,14,8,11,243.18,143.32,W
2024,14,4,7,209.88,137.52,W
2024,14,7,4,137.52,209.88,L
2024,14,1,6,107.16,145.24,L
2024,14,6,1,145.24,107.16,W
2024,15,9,4,149.86,111.3,W
2024,15,4,9,111.3,149.86,L
2024,15,2,6,176.9,104.14,W
2024,15,6,2,104.14,176.9,L
2024,15,12,10,160.96,122.16,W
2024,15,10,12,122.16,160.96,L
2024,15,3,11,115.94,117.98,L
2024,15,11,3,117.98,115.94,W
2024,15,5,7,138.04,134.4,W
2024,15,7,5,134.4,138.04,L
2024,16,1,9,163.74,123.38,W
2024,16,9,1,123.38,163.74,L
2024,16,8,2,158.64,138.84,W
2024,16,2,8,138.84,158.64,L
2024,16,4,6,145.88,111.7,W
2024,16,6,4,111.7,145.88,L
2024,16,12,11,139.64,174.76,L
2024,16,11,12,174.76,139.64,W
2024,16,10,5,89.68,165.28,L
2024,16,5,10,165.28,89.68,W
2024,16,3,7,77.9,134.5,L
2024,16,7,3,134.5,77.9,W
2024,17,1,8,156.9,134.48,W
2024,17,8,1,134.48,156.9,L
2024,17,2,9,136.1,97.3,W
2024,17,9,2,97.3,136.1,L
2024,17,4,6,114.42,159.62,L
2024,17,6,4,159.62,114.42,W
2024,17,11,5,127.54,122.38,W
2024,17,5,11,122.38,127.54,L
2024,17,12,7,169.52,77.46,W
2024,17,7,12,77.46,169.52,L
2024,17,10,3,109.18,99.2,W
2024,17,3,10,99.2,109.18,L
2025,1,10,2,123.2,111.82,W
2025,1,2,10,111.82,123.2,L
2025,1,8,3,103.92,137.12,L
2025,1,3,8,137.12,103.92,W
2025,1,7,12,122.96,122.72,W
2025,1,12,7,122.72,122.96,L
2025,1,6,5,133.76,124.98,W
2025,1,5,6,124.98,133.76,L
2025,1,1,9,118.52,66.68,W
2025,1,9,1,66.68,118.52,L
2025,1,4,11,104.78,132.12,L
2025,1,11,4,132.12,104.78,W
2025,2,2,3,120.64,135.7,L
2025,2,3,2,135.7,120.64,W
2025,2,12,10,126.48,147.54,L
2025,2,10,12,147.54,126.48,W
2025,2,5,8,123.1,140.64,L
2025,2,8,5,140.64,123.1,W
2025,2,9,7,102.7,175.42,L
2025,2,7,9,175.42,102.7,W
2025,2,11,6,131.4,115.6,W
2025,2,6,11,115.6,131.4,L
2025,2,4,1,104.54,138.28,L
2025,2,1,4,138.28,104.54,W
2025,3,12,2,124.62,133.64,L
2025,3,2,12,133.64,124.62,W
2025,3,3,5,122.36,80.82,W
2025,3,5,3,80.82,122.36,L
2025,3,10,9,129.52,149.52,L
2025,3,9,10,149.52,129.52,W
2025,3,8,11,145.54,132.8,W
2025,3,11,8,132.8,145.54,L
2025,3,7,4,130.02,162.04,L
2025,3,4,7,162.04,130.02,W
2025,3,6,1,114.72,124.26,L
2025,3,1,6,124.26,114.72,W
2025,4,2,5,155.9,138.98,W
2025,4,5,2,138.98,155.9,L
2025,4,9,12,106.98,124.88,L
2025,4,12,9,124.88,106.98,W
2025,4,11,3,128.82,133.4,L
2025,4,3,11,133.4,128.82,W
2025,4,4,10,107.5,178.78,L
2025,4,10,4,178.78,107.5,W
2025,4,1,8,130.2,160.28,L
2025,4,8,1,160.28,130.2,W
2025,4,6,7,123.38,164.46,L
2025,4,7,6,164.46,123.38,W
2025,5,9,2,118.42,149.16,L
2025,5,2,9,149.16,118.42,W
2025,5,5,11,115.76,121.84,L
2025,5,11,5,121.84,115.76,W
2025,5,12,4,114.82,161.12,L
2025,5,4,12,161.12,114.82,W
2025,5,3,1,129.52,144.22,L
2025,5,1,3,144.22,129.52,W
2025,5,10,6,136.58,155.46,L
2025,5,6,10,155.46,136.58,W
2025,5,8,7,139.78,140.92,L
2025,5,7,8,140.92,139.78,W
2025,6,2,11,102.14,152.94,L
2025,6,11,2,152.94,102.14,W
2025,6,4,9,147.22,82.68,W
2025,6,9,4,82.68,147.22,L
2025,6,1,5,137.88,114.14,W
2025,6,5,1,114.14,137.88,L
2025,6,6,12,110.26,125.26,L
2025,6,12,6,125.26,110.26,W
2025,6,7,3,102.1,120.42,L
2025,6,3,7,120.42,102.1,W
2025,6,8,10,173.64,156.28,W
2025,6,10,8,156.28,173.64,L
2025,7,4,2,148.34,133.18,W
2025,7,2,4,133.18,148.34,L
2025,7,11,1,121.74,188.64,L
2025,7,1,11,188.64,121.74,W
2025,7,9,6,94.88,105.16,L
2025,7,6,9,105.16,94.88,W
2025,7,5,7,77.12,139.76,L
2025,7,7,5,139.76,77.12,W
2025,7,12,8,135.06,178.96,L
2025,7,8,12,178.96,135.06,W
2025,7,3,10,95.94,153.12,L
2025,7,10,3,153.12,95.94,W
2025,8,2,1,161.72,141.76,W
2025,8,1,2,141.76,161.72,L
2025,8,6,4,103.28,175.26,L
2025,8,4,6,175.26,103.28,W
2025,8,7,11,168.82,148.98,W
2025,8,11,7,148.98,168.82,L
2025,8,8,9,142.12,110.84,W
2025,8,9,8,110.84,142.12,L
2025,8,10,5,112.38,114.98,L
2025,8,5,10,114.98,112.38,W
2025,8,3,12,111.42,129.1,L
2025,8,12,3,129.1,111.42,W
2025,9,6,2,164.16,122.34,W
2025,9,2,6,122.34,164.16,L
2025,9,1,7,85.4,136.22,L
2025,9,7,1,136.22,85.4,W
2025,9,4,8,114.5,152.3,L
2025,9,8,4,152.3,114.5,W
2025,9,11,10,127.7,148.58,L
2025,9,10,11,148.58,127.7,W
2025,9,9,3,109.26,143.9,L
2025,9,3,9,143.9,109.26,W
2025,9,5,12,155.62,149.52,W
2025,9,12,5,149.52,155.62,L
2025,10,2,7,164.2,103.54,W
2025,10,7,2,103.54,164.2,L
2025,10,8,6,112.38,103.24,W
2025,10,6,8,103.24,112.38,L
2025,10,10,1,149.2,179.5,L
2025,10,1,10,179.5,149.2,W
2025,10,3,4,93.62,121.52,L
2025,10,4,3,121.52,93.62,W
2025,10,12,11,144.94,133.3,W
2025,10,11,12,133.3,144.94,L
2025,10,5,9,133.42,103.1,W
2025,10,9,5,103.1,133.42,L
2025,11,8,2,156.72,74.3,W
2025,11,2,8,74.3,156.72,L
2025,11,7,10,124.18,135.46,L
2025,11,10,7,135.46,124.18,W
2025,11,6,3,123.02,103.96,W
