season,pick_number,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team,bid_amount,keeper,round
2023,40,15818,Keenan Allen,WR,3.0,10,Team Clucker Fuckers,22,False,
2023,41,3915511,,,,10,Team Clucker Fuckers,24,False,
2023,42,15795,DeAndre Hopkins,WR,10.0,4,Greendale Human Beings,14,False,
2023,43,4362887,Justin Fields,QB,23.0,3,Kareemin' My Jeans,10,False,
2023,44,4360438,Brandon Aiyuk,WR,25.0,7,Put it Justin??,10,False,
2023,45,15683,Justin Tucker,K,33.0,4,Greendale Human Beings,8,False,
2023,46,4048244,Alexander Mattison,RB,13.0,12,El Ultimo Hombre,21,False,
2023,47,4360238,Dameon Pierce,RB,34.0,7,Put it Justin??,29,False,
2023,48,3116365,Mark Andrews,TE,33.0,9,Olivas - Alone,25,False,
2023,49,3116165,Chris Godwin,WR,27.0,5,One-cut Heroes,14,False,
2023,50,-16025,49ers D/ST,D/ST,25.0,9,Olivas - Alone,5,False,
2023,51,4697815,Rachaad White,RB,27.0,5,One-cut Heroes,11,False,
2023,52,4038941,,,,11,Seattle  Ricks ,17,False,
2023,53,4360310,Trevor Lawrence,QB,30.0,7,Put it Justin??,12,False,
2023,54,4242335,Jonathan Taylor,RB,11.0,12,El Ultimo Hombre,15,False,
2023,55,3121023,Dallas Goedert,TE,21.0,7,Put it Justin??,14,False,
2023,56,4248528,Christian Watson,WR,9.0,5,One-cut Heroes,18,False,
2023,57,3932905,Diontae Johnson,WR,29.0,10,Team Clucker Fuckers,9,False,
2023,58,3045147,James Conner,RB,22.0,4,Greendale Human Beings,9,False,
2023,59,4036133,T.J. Hockenson,TE,16.0,10,Team Clucker Fuckers,9,False,
2023,60,4427366,Breece Hall,RB,20.0,10,Team Clucker Fuckers,8,False,
2023,61,4379399,James Cook,RB,2.0,11,Seattle  Ricks ,7,False,
2023,62,2576925,Darren Waller,TE,19.0,7,Put it Justin??,6,False,
2023,63,4567048,Kenneth Walker III,RB,26.0,11,Seattle  Ricks ,7,False,
2023,64,3122840,,,,12,El Ultimo Hombre,6,False,
2023,65,2577417,Dak Prescott,QB,6.0,2,Show Me Dem TDs,6,False,
2023,66,3915416,DJ Moore,WR,3.0,5,One-cut Heroes,5,False,
2023,67,4360248,Kyle Pitts,TE,1.0,3,Kareemin' My Jeans,7,False,
2023,68,16737,Mike Evans,WR,27.0,4,Greendale Human Beings,9,False,
2023,69,4045163,Miles Sanders,RB,29.0,3,Kareemin' My Jeans,5,False,
2023,70,3116593,,,,6,Whos Yurdatty,4,False,
2023,71,3040151,George Kittle,TE,25.0,4,Greendale Human Beings,7,False,
2023,72,3045138,,,,11,Seattle  Ricks ,6,False,
2023,73,4240021,,,,10,Team Clucker Fuckers,3,False,
2023,74,-16002,Bills D/ST,D/ST,2.0,2,Show Me Dem TDs,2,False,
2023,75,4361529,Isiah Pacheco,RB,12.0,4,Greendale Human Beings,6,False,
2023,76,3121422,Terry McLaurin,WR,28.0,3,Kareemin' My Jeans,4,False,
2023,77,16757,Derek Carr,QB,18.0,8,False Shart,1,False,
2023,78,4361579,Javonte Williams,RB,7.0,11,Seattle  Ricks ,4,False,
2023,79,4241463,,,,12,El Ultimo Hombre,3,False,
2023,80,2577327,Tyler Lockett,WR,26.0,11,Seattle  Ricks ,11,False,
2023,81,4430878,Jaxon Smith-Njigba,WR,26.0,2,Show Me Dem TDs,4,False,
2023,82,2980453,Jamaal Williams,RB,18.0,4,Greendale Human Beings,5,False,
2023,83,4241372,Marquise Brown,WR,12.0,8,False Shart,4,False,
2023,84,4426502,Drake London,WR,1.0,10,Team Clucker Fuckers,3,False,
2023,85,4035538,David Montgomery,RB,8.0,9,Olivas - Alone,4,False,
2023,86,15864,Geno Smith,QB,26.0,11,Seattle  Ricks ,4,False,
2023,87,4241985,,,,7,Put it Justin??,3,False,
2023,88,4361411,,,,5,One-cut Heroes,2,False,
2023,89,3895856,Christian Kirk,WR,30.0,3,Kareemin' My Jeans,2,False,
2023,90,4035687,Michael Pittman Jr.,WR,11.0,11,Seattle  Ricks ,3,False,
2023,91,3917232,Tyler Bass,K,2.0,2,Show Me Dem TDs,2,False,
2023,92,14880,,,,11,Seattle  Ricks ,1,False,
2023,93,3917792,,,,1,MaChungus,1,False,
2023,94,3139925,,,,2,Show Me Dem TDs,2,False,
2023,95,4426354,George Pickens,WR,23.0,4,Greendale Human Beings,5,False,
2023,96,16731,Brandin Cooks,WR,6.0,8,False Shart,2,False,
2023,97,3128429,Courtland Sutton,WR,7.0,2,Show Me Dem TDs,1,False,
2023,98,3123076,David Njoku,TE,5.0,6,Whos Yurdatty,1,False,
2023,99,4360294,Antonio Gibson,RB,17.0,9,Olivas - Alone,1,False,
2023,100,3051876,Evan Engram,TE,30.0,11,Seattle  Ricks ,2,False,
2023,101,4258595,Cole Kmet,TE,3.0,2,Show Me Dem TDs,2,False,
2023,102,4361409,,,,11,Seattle  Ricks ,2,False,
2023,103,4430191,,,,6,Whos Yurdatty,2,False,
2023,104,-16023,Steelers D/ST,D/ST,23.0,11,Seattle  Ricks ,1,False,
2023,105,4567156,,,,1,MaChungus,1,False,
2023,106,4259545,D'Andre Swift,RB,3.0,9,Olivas - Alone,2,False,
2023,107,4241479,Tua Tagovailoa,QB,15.0,4,Greendale Human Beings,3,False,
2023,108,4035886,Khalil Herbert,RB,3.0,10,Team Clucker Fuckers,1,False,
2023,109,4239934,AJ Dillon,RB,9.0,2,Show Me Dem TDs,1,False,
2023,110,4243537,Gabe Davis,WR,30.0,6,Whos Yurdatty,1,False,
2023,111,4241474,Brian Robinson Jr.,RB,28.0,9,Olivas - Alone,1,False,
2023,112,3117256,Dalton Schultz,TE,34.0,12,El Ultimo Hombre,1,False,
2023,113,4429205,Jordan Addison,WR,16.0,8,False Shart,1,False,
2023,114,2976316,,,,7,Put it Justin??,1,False,
2023,115,3916433,Jakobi Meyers,WR,13.0,3,Kareemin' My Jeans,1,False,
2023,116,2473037,Jason Myers,K,26.0,11,Seattle  Ricks ,1,False,
2023,117,2576414,Raheem Mostert,RB,15.0,6,Whos Yurdatty,2,False,
2023,118,3120348,,,,4,Greendale Human Beings,1,False,
2023,119,16733,,,,5,One-cut Heroes,1,False,
2023,120,4429615,Zay Flowers,WR,33.0,10,Team Clucker Fuckers,1,False,
2023,121,-16018,Saints D/ST,D/ST,18.0,2,Show Me Dem TDs,1,False,
2023,122,-16015,,,,6,Whos Yurdatty,1,False,
2023,123,4360234,Evan McPherson,K,4.0,9,Olivas - Alone,1,False,
2023,124,4429025,Quentin Johnston,WR,24.0,12,El Ultimo Hombre,1,False,
2023,125,2573401,Tyler Higbee,TE,14.0,8,False Shart,1,False,
2023,126,4372485,,,,7,Put it Justin??,1,False,
2023,127,3116389,,,,3,Kareemin' My Jeans,1,False,
2023,128,3051392,Ezekiel Elliott,RB,17.0,1,MaChungus,1,False,
2023,129,16782,Jerick McKinnon,RB,12.0,4,Greendale Human Beings,1,False,
2023,130,4429084,,,,5,One-cut Heroes,1,False,
2023,131,3115394,,,,10,Team Clucker Fuckers,1,False,
2023,132,4360635,Chigoziem Okonkwo,TE,10.0,2,Show Me Dem TDs,1,False,
2023,133,3055899,Harrison Butker,K,12.0,6,Whos Yurdatty,1,False,
2023,134,4361741,Brock Purdy,QB,25.0,9,Olivas - Alone,1,False,
2023,135,4040655,,,,12,El Ultimo Hombre,1,False,
2023,136,3051909,Daniel Carlson,K,13.0,8,False Shart,1,False,
2023,137,4036348,,,,4,Greendale Human Beings,2,False,
2023,138,14881,Russell Wilson,QB,23.0,3,Kareemin' My Jeans,1,False,
2023,139,3916566,K.J. Osborn,WR,17.0,1,MaChungus,1,False,
2023,140,-16006,Cowboys D/ST,D/ST,6.0,4,Greendale Human Beings,1,False,
2023,141,4258173,Nico Collins,WR,34.0,5,One-cut Heroes,1,False,
2023,142,4426385,,,,10,Team Clucker Fuckers,1,False,
2023,143,12460,,,,2,Show Me Dem TDs,1,False,
2023,144,3046779,Jared Goff,QB,8.0,6,Whos Yurdatty,1,False,
2023,145,-16005,Browns D/ST,D/ST,5.0,9,Olivas - Alone,1,False,
2023,146,4372414,,,,12,El Ultimo Hombre,1,False,
2023,147,-16017,Patriots D/ST,D/ST,17.0,8,False Shart,1,False,
2023,148,3045144,Tyler Boyd,WR,4.0,7,Put it Justin??,1,False,
2023,149,4040761,Devin Singletary,RB,19.0,3,Kareemin' My Jeans,1,False,
2023,150,3128390,,,,1,MaChungus,1,False,
2023,151,-16020,Jets D/ST,D/ST,20.0,5,One-cut Heroes,1,False,
2023,152,-16009,Packers D/ST,D/ST,9.0,10,Team Clucker Fuckers,1,False,
2023,153,16460,Adam Thielen,WR,29.0,2,Show Me Dem TDs,1,False,
2023,154,3059722,,,,6,Whos Yurdatty,1,False,
2023,155,3135321,Hunter Renfrow,WR,13.0,9,Olivas - Alone,1,False,
2023,156,4241555,,,,12,El Ultimo Hombre,1,False,
2023,157,4569987,Jaylen Warren,RB,23.0,8,False Shart,1,False,
2023,158,-16021,,,,7,Put it Justin??,1,False,
2023,159,4373626,Tyler Allgeier,RB,1.0,3,Kareemin' My Jeans,1,False,
2023,160,3930066,,,,1,MaChungus,1,False,
2023,161,4385690,Dalton Kincaid,TE,2.0,5,One-cut Heroes,1,False,
2023,162,3050478,Jake Elliott,K,21.0,10,Team Clucker Fuckers,1,False,
2023,163,4240600,,,,2,Show Me Dem TDs,1,False,
2023,164,3121410,,,,6,Whos Yurdatty,1,False,
2023,165,3918639,Gerald Everett,TE,3.0,9,Olivas - Alone,1,False,
2023,166,3929645,,,,12,El Ultimo Hombre,1,False,
2023,167,4249087,Matt Gay,K,11.0,8,False Shart,1,False,
2023,168,4240455,,,,7,Put it Justin??,1,False,
2023,169,3049899,,,,3,Kareemin' My Jeans,1,False,
2023,170,4046692,,,,1,MaChungus,1,False,
2023,171,4426386,Roschon Johnson,RB,3.0,5,One-cut Heroes,1,False,
2023,172,3122976,Jeff Wilson Jr.,RB,15.0,6,Whos Yurdatty,1,False,
