season,week,team_id,player_id,player_name,position,lineup_slot_id,lineup_slot,is_starter,points
2022,2,3,3043078,Derrick Henry,RB,2,RB,True,8.5
2022,2,3,4362628,Ja'Marr Chase,WR,4,WR,True,10.8
2022,2,3,4047646,A.J. Brown,WR,4,WR,True,11.9
2022,2,3,4239996,Travis Etienne Jr.,RB,20,BE,False,8.3
2022,2,3,4040715,Jalen Hurts,QB,0,QB,True,38.019999999999996
2022,2,3,4361411,Pat Freiermuth,TE,20,BE,False,12.2
2022,2,3,16460,Adam Thielen,WR,23,FLEX,True,9.2
2022,2,3,4360238,Dameon Pierce,RB,20,BE,False,8.700000000000001
2022,2,3,4241555,Elijah Mitchell,RB,20,BE,False,0.0
2022,2,3,16799,Allen Robinson II,WR,20,BE,False,15.3
2022,2,3,2976499,Amari Cooper,WR,23,FLEX,True,25.1
2022,2,3,3895856,Christian Kirk,WR,20,BE,False,25.8
2022,2,3,3925347,Damien Harris,RB,2,RB,True,16.700000000000003
2022,2,3,15835,Zach Ertz,TE,6,TE,True,15.5
2022,2,3,4360234,Evan McPherson,K,17,K,True,13.0
2022,2,3,-16018,Saints D/ST,D/ST,16,D/ST,True,6.0
2022,2,12,4242335,Jonathan Taylor,RB,2,RB,True,7.300000000000001
2022,2,12,4262921,Justin Jefferson,WR,4,WR,True,10.8
2022,2,12,3115364,Leonard Fournette,RB,2,RB,True,9.4
2022,2,12,4241463,Jerry Jeudy,WR,4,WR,True,2.2
2022,2,12,3045144,Tyler Boyd,WR,20,BE,False,5.7
2022,2,12,3046439,Hunter Henry,TE,20,BE,False,0.0
2022,2,12,4052042,James Robinson,RB,23,FLEX,True,15.8
2022,2,12,11237,Matt Ryan,QB,20,BE,False,1.7999999999999998
2022,2,12,4241474,Brian Robinson Jr.,RB,21,IR,False,0.0
2022,2,12,4361409,Jahan Dotson,WR,20,BE,False,17.9
2022,2,12,4361432,Romeo Doubs,WR,20,BE,False,4.7
2022,2,12,15965,Dustin Hopkins,K,17,K,True,6.0
2022,2,12,2573079,Carson Wentz,QB,0,QB,True,33.78
2022,2,12,3122976,Jeff Wilson Jr.,RB,23,FLEX,True,12.3
2022,2,12,-16005,Browns D/ST,D/ST,16,D/ST,True,1.0
2022,2,12,12483,Matthew Stafford,QB,20,BE,False,24.880000000000003
2022,2,12,3924365,Hayden Hurst,TE,6,TE,True,7.4
2022,2,10,3139477,Patrick Mahomes,QB,0,QB,True,22.3
2022,2,10,4427366,Breece Hall,RB,20,BE,False,13.0
2022,2,10,2330,Tom Brady,QB,20,BE,False,11.4
2022,2,10,3915416,DJ Moore,WR,4,WR,True,13.3
2022,2,10,3045138,Mike Williams,WR,4,WR,True,25.3
2022,2,10,4360248,Kyle Pitts,TE,6,TE,True,3.9000000000000004
2022,2,10,16731,Brandin Cooks,WR,23,FLEX,True,9.4
2022,2,10,4035538,David Montgomery,RB,2,RB,True,15.600000000000001
2022,2,10,4567048,Kenneth Walker III,RB,20,BE,False,3.5
2022,2,10,4426502,Drake London,WR,23,FLEX,True,24.6
2022,2,10,4040655,Darnell Mooney,WR,20,BE,False,0.6
2022,2,10,3059915,Kareem Hunt,RB,2,RB,True,9.4
2022,2,10,15683,Justin Tucker,K,17,K,True,10.0
2022,2,10,-16006,Cowboys D/ST,D/ST,16,D/ST,True,9.0
2022,2,10,4379399,James Cook,RB,20,BE,False,5.300000000000001
2022,2,10,4249087,Matt Gay,K,20,BE,False,7.0
2022,2,5,4361579,Javonte Williams,RB,2,RB,True,9.5
2022,2,5,4241389,CeeDee Lamb,WR,4,WR,True,15.1
2022,2,5,4239934,AJ Dillon,RB,23,FLEX,True,7.700000000000001
2022,2,5,4247812,Lance McCutcheon,WR,20,BE,False,0.0
2022,2,5,4242214,Clyde Edwards-Helaire,RB,2,RB,True,15.8
2022,2,5,2576980,Marcus Mariota,QB,20,BE,False,17.439999999999998
