season,team_id,week,slot,starter_name,starter_points,bench_alternative,bench_points,points_left_on_bench,team_name
2023,3,2,WR,Stefon Diggs,13.600000000000001,Christian Kirk,21.96,8.36,Kareemin' My Jeans
2023,2,13,QB,Jalen Hurts,25.92,Dak Prescott,34.260000000000005,8.34,Show Me Dem TDs
2024,2,7,FLEX,DeMario Douglas,3.4000000000000004,Ray Davis,11.700000000000001,8.3,Show Me Dem TDs
2022,6,12,FLEX,Deebo Samuel,7.3,Isiah Pacheco,15.600000000000001,8.3,Whos Yurdatty
2025,4,12,FLEX,Aaron Jones Sr.,8.700000000000001,Khalil Shakir,17.0,8.3,Flipadelphia Cheesestoinks
2022,11,3,WR,Chase Claypool,7.6,Joshua Palmer,15.9,8.3,Seattle  Ricks 
2024,8,17,WR,Justin Jefferson,17.200000000000003,Jameson Williams,25.5,8.3,Here's to you
2025,11,8,FLEX,Kenneth Gainwell,3.5,Jeremy McNichols,11.8,8.3,Seattle  Ricks 
2025,5,12,WR,Jauan Jennings,15.100000000000001,DJ Moore,23.4,8.3,One-cut Heroes
2023,2,16,WR,Courtland Sutton,0.0,Brandon Powell,8.3,8.3,Show Me Dem TDs
2024,10,3,WR,Michael Pittman Jr.,7.6,Christian Kirk,15.9,8.3,Team Clucker Fuckers
2024,8,10,WR,Justin Jefferson,9.8,Alec Pierce,18.1,8.3,Here's to you
2022,9,15,QB,Daniel Jones,9.9,Andy Dalton,18.14,8.24,Slim Pickins
2023,10,17,FLEX,Cooper Kupp,12.7,Khalil Herbert,20.9,8.2,Team Clucker Fuckers
2023,6,11,WR,Gabe Davis,0.0,Rashee Rice,8.2,8.2,Whos Yurdatty
2025,3,2,TE,Dalton Kincaid,7.7,Juwan Johnson,15.9,8.2,Shooting Ropes💦
2023,5,1,RB,Saquon Barkley,9.3,Roschon Johnson,17.5,8.2,One-cut Heroes
2022,10,17,FLEX,Mack Hollins,7.0,Kenneth Walker III,15.200000000000001,8.2,Team Clucker Fuckers
2022,10,15,RB,Kareem Hunt,3.7,Kenneth Walker III,11.899999999999999,8.2,Team Clucker Fuckers
2024,7,9,WR,Ja'Marr Chase,11.3,Cedric Tillman,19.5,8.2,Cee Dees in the Face
2023,10,16,FLEX,Cooper Kupp,10.9,Khalil Herbert,19.1,8.2,Team Clucker Fuckers
2024,12,14,RB,Bucky Irving,2.8,Travis Etienne Jr.,11.0,8.2,El Ultimo Hombre
2023,11,4,WR,Michael Pittman Jr.,4.5,Jahan Dotson,12.7,8.2,Seattle  Ricks 
2025,1,4,TE,Travis Kelce,9.8,Kyle Pitts Sr.,18.0,8.2,"Two Gibbs, One Kupp"
2023,3,12,QB,Justin Fields,10.58,Russell Wilson,18.76,8.18,Kareemin' My Jeans
2023,9,6,QB,Brock Purdy,9.7,Josh Allen,17.86,8.16,Olivas - Alone
2024,6,15,FLEX,Najee Harris,3.1000000000000005,Pat Freiermuth,11.2,8.1,Whos Yurdatty
2025,11,17,TE,AJ Barner,13.3,Colston Loveland,21.4,8.1,Seattle  Ricks 
2024,5,2,RB,Jaleel McLaughlin,0.6000000000000001,Khalil Herbert,8.700000000000001,8.1,One-cut Heroes
2023,1,1,WR,Marvin Mims Jr.,2.9,Curtis Samuel,11.0,8.1,MaChungus
2023,7,2,FLEX,Dameon Pierce,5.5,Darren Waller,13.600000000000001,8.1,Put it Justin??
2023,12,13,FLEX,Calvin Ridley,7.300000000000001,Taysom Hill,15.4,8.1,El Ultimo Hombre
2025,12,4,TE,Brock Bowers,9.600000000000001,Darren Waller,17.7,8.1,Blunder Bust 2000
2023,5,2,TE,Pat Freiermuth,1.2,Dalton Kincaid,9.3,8.1,One-cut Heroes
2023,7,16,RB,Zach Charbonnet,0.6,Justice Hill,8.7,8.1,Put it Justin??
2023,2,8,RB,Latavius Murray,2.1,AJ Dillon,10.2,8.1,Show Me Dem TDs
