season,team_id,week,actual_points,optimal_points,points_left_on_bench,efficiency_pct,team_name
2022,2,15,165.3,179.39999999999998,14.099999999999966,92.1,Show Me Dem TDs
2022,3,15,145.0,158.1,13.099999999999994,91.7,Kareemin' My Jeans
2022,4,15,126.56,126.56,0.0,100.0,Greendale Human Beings
2022,5,15,108.64000000000001,131.04,22.399999999999977,82.9,One-cut Heroes
2022,6,15,193.87999999999997,220.82,26.940000000000026,87.8,Whos Yurdatty
2022,7,15,102.75999999999999,136.58,33.82000000000002,75.2,Worst Cook
2022,8,15,121.96000000000001,143.45999999999998,21.49999999999997,85.0,False Shart
2022,9,15,132.4,147.34,14.939999999999998,89.9,Slim Pickins
2022,10,15,128.34,136.54000000000002,8.200000000000017,94.0,Team Clucker Fuckers
2022,11,15,118.22,174.2,55.97999999999999,67.9,Seattle  Ricks 
2022,12,15,133.48000000000002,175.48000000000002,42.0,76.1,Shart City Poo Bums
2022,1,16,131.20000000000002,205.79999999999998,74.59999999999997,63.8,D. Adams Family
2022,2,16,118.46,121.46,3.0,97.5,Show Me Dem TDs
2022,3,16,119.03999999999999,130.64000000000001,11.600000000000023,91.1,Kareemin' My Jeans
2022,4,16,140.0,146.6,6.599999999999994,95.5,Greendale Human Beings
2022,5,16,159.38,173.88000000000002,14.500000000000028,91.7,One-cut Heroes
2022,6,16,130.16,147.36,17.200000000000017,88.3,Whos Yurdatty
2022,7,16,91.12,130.70000000000002,39.58000000000001,69.7,Worst Cook
2022,8,16,101.38000000000001,118.28000000000002,16.900000000000006,85.7,False Shart
2022,9,16,112.56,140.16,27.599999999999994,80.3,Slim Pickins
2022,10,16,107.76,126.76000000000002,19.000000000000014,85.0,Team Clucker Fuckers
2022,11,16,123.0,171.16,48.16,71.9,Seattle  Ricks 
2022,12,16,114.36,149.66000000000003,35.300000000000026,76.4,Shart City Poo Bums
2022,1,17,109.8,120.8,11.0,90.9,D. Adams Family
2022,2,17,89.72,105.11999999999999,15.399999999999991,85.4,Show Me Dem TDs
2022,3,17,85.0,116.99999999999999,31.999999999999986,72.6,Kareemin' My Jeans
2022,4,17,110.60000000000001,129.5,18.89999999999999,85.4,Greendale Human Beings
2022,5,17,74.78,89.98,15.200000000000003,83.1,One-cut Heroes
2022,6,17,103.88,162.76,58.879999999999995,63.8,Whos Yurdatty
2022,7,17,67.75999999999999,121.80000000000001,54.04000000000002,55.6,Worst Cook
2022,8,17,77.10000000000001,118.82000000000001,41.72,64.9,False Shart
2022,9,17,177.57999999999998,212.38000000000002,34.80000000000004,83.6,Slim Pickins
2022,10,17,115.91999999999999,154.07999999999996,38.15999999999997,75.2,Team Clucker Fuckers
2022,11,17,123.98,137.54000000000002,13.560000000000016,90.1,Seattle  Ricks 
2022,12,17,87.80000000000001,120.4,32.599999999999994,72.9,Shart City Poo Bums
2023,1,1,80.64,90.14,9.5,89.5,MaChungus
2023,2,1,91.10000000000001,100.4,9.299999999999997,90.7,Show Me Dem TDs
2023,3,1,137.84,177.08,39.24000000000001,77.8,Kareemin' My Jeans
2023,4,1,124.36,157.04000000000002,32.68000000000002,79.2,Greendale Human Beings
